mpg,cylinders,model year,origin,origin_1,origin_2,origin_3,scaleddisplacement,scaledhorsepower,scaledweight,scaledacceleration
16.0,6,74,1,1,0,0,0.5432570801390451,-0.1171494336501472,0.9583792809261393,0.5198961385911488
31.5,4,78,2,0,1,0,-1.0027570508826382,-0.8772834300741629,-1.1591995909317718,-0.24256954422071605
39.1,4,81,3,0,0,1,-1.098782773306345,-1.2180331526090664,-1.4370505316836475,0.48358824893344043
24.0,4,73,2,0,1,0,-0.6954747391267756,0.14496573753054787,-0.36702882368174367,-0.5693405511400869
32.0,4,74,3,0,0,1,-1.1756033512453108,-1.03455253278258,-1.341280632956405,1.972211724899463
15.0,6,75,1,1,0,0,0.6200776580780107,0.14496573753054787,0.8980797150608386,1.2460539317453059
33.8,4,80,3,0,0,1,-0.9259364729436725,-0.9821294985464409,-0.9759362044784071,0.8829750351682274
31.3,4,80,3,0,0,1,-0.7050773113691463,-0.7724373616018849,-0.5065454662720471,0.7014355868796881
23.0,4,75,1,1,0,0,-0.5130258665217323,-0.6938028102476763,-0.4474282448354779,1.0645144834567666
43.1,4,78,2,0,1,0,-0.9931544786402674,-1.4801483237897615,-1.1651113130754287,2.1537511731880024
27.2,4,81,1,1,0,0,-0.5610387277335858,-0.5365337075392593,-0.5680273765660792,0.04789357304094641
22.0,6,82,1,1,0,0,0.37041077977637243,0.1973887717666869,-0.16011854865375125,-0.31518532353613216
19.0,6,74,1,1,0,0,0.37041077977637243,-0.1171494336501472,-0.08208381635747981,0.15681724201407024
22.0,4,72,1,1,0,0,-0.6858721668844049,-0.4841106733031203,-0.6803500972955608,0.15681724201407024
23.0,4,75,1,1,0,0,-0.5130258665217323,-0.5627452246573288,-0.39185805668510276,0.5198961385911488
13.0,8,72,1,1,0,0,1.5035143043761154,1.5865991790243708,1.5412750842907124,-1.295498344294244
20.6,6,79,1,1,0,0,0.30319277407977746,0.14496573753054787,0.46061227643022606,0.3746645799603179
35.1,4,81,3,0,0,1,-1.0795776288216037,-1.1656101183729275,-1.4311388095399904,0.1931251316717786
44.6,4,80,3,0,0,1,-0.9835519063978967,-0.9821294985464409,-1.3247278109541658,-0.6419563304555024
25.0,4,76,2,0,1,0,-0.7434876003386292,-0.6151682588934678,-0.8872603723235533,0.48358824893344043
16.0,6,73,1,1,0,0,0.5432570801390451,-0.1171494336501472,0.36366003327425245,0.8829750351682274
31.0,4,82,1,1,0,0,-0.714679883611517,-0.5889567417753984,-0.2960881579578606,1.391285490376137
31.0,4,82,1,1,0,0,-0.781897889308112,-0.5103221904211898,-0.46752810012391144,0.2294330213294857
25.0,4,76,1,1,0,0,-0.5130258665217323,-0.32684157059470326,-0.4710751334101056,-0.24256954422071605
27.2,4,78,3,0,0,1,-0.714679883611517,-0.19578398500435573,-0.7926728180250424,-0.31518532353613216
13.0,8,73,1,1,0,0,1.5995400267998223,1.8487143502050658,1.0056730580753948,-1.6585772408713226
30.0,4,71,2,0,1,0,-1.012359623125009,-0.7462258444838153,-1.0705237587769179,-0.3878011028515476
9.0,8,70,1,1,0,0,1.061795981227063,2.3205216583303168,2.082788832649687,1.0645144834567666
34.0,4,82,3,0,0,1,-0.8203081782775948,-0.9034949471922324,-0.8577017616052686,0.48358824893344043
25.0,4,75,2,0,1,0,-0.9931544786402674,-0.8772834300741629,-0.883713339037359,0.3383566903026095
21.5,4,77,2,0,1,0,-0.6954747391267756,0.14496573753054787,-0.4379694894056268,-1.0050352270325809
38.1,4,80,3,0,0,1,-1.0027570508826382,-1.1656101183729275,-1.1852111683638624,1.1734381524298905
14.0,8,75,1,1,0,0,1.5131168766184862,1.1410033880171893,1.9941130004948329,-0.7508799994286262
23.0,4,72,3,0,0,1,-0.7050773113691463,-0.19578398500435573,-0.549109865706377,-0.3878011028515476
34.3,4,80,2,0,1,0,-0.9259364729436725,-0.6938028102476763,-0.9250953940429576,0.08420146269865478
22.0,4,71,1,1,0,0,-0.5130258665217323,-0.8510719129560934,-0.6649796197220528,1.2460539317453059
15.5,8,77,1,1,0,0,1.5035143043761154,1.7176567646147183,1.4123995415589912,-1.5133456822404912
16.0,8,74,1,1,0,0,1.0425908367423216,0.9313112510726331,1.384023275269438,-0.5693405511400869
14.0,8,70,1,1,0,0,2.502181817582669,3.0282326205181938,1.635862638589223,-2.38473503402548
26.0,4,76,1,1,0,0,-0.9163339007013018,-0.6675912931296069,-0.8458783173179547,0.7740513661951035
28.0,4,71,2,0,1,0,-0.7434876003386292,-0.3792646048308423,-1.0019477819104976,-0.5693405511400869
32.9,4,81,3,0,0,1,-0.714679883611517,-0.1171494336501472,-0.420234322974656,-0.2788774338784238
30.0,4,81,1,1,0,0,-0.5610387277335858,-0.5365337075392593,-0.6921735415828747,-0.9687273373748732
25.0,6,82,1,1,0,0,-0.11932040458453345,0.14496573753054787,-0.030060661493298863,0.30204880064490114
15.0,8,70,1,1,0,0,2.262117511523401,2.4515792439206643,1.620492161015715,-2.0216561374484012
23.0,4,75,2,0,1,0,-0.7050773113691463,-0.43168763906698127,-0.01587252834852224,0.5198961385911488
14.0,8,74,1,1,0,0,1.0425908367423216,0.9313112510726331,1.9716484563489365,0.15681724201407024
24.2,6,81,3,0,0,1,-0.45541043306750806,0.407080908711243,-0.047795827924269646,-0.6419563304555024
19.0,6,75,1,1,0,0,0.37041077977637243,-0.3792646048308423,0.2844429565492496,0.5198961385911488
27.0,4,71,2,0,1,0,-0.9259364729436725,-1.1656101183729275,-1.343645321813868,1.2460539317453059
15.0,8,73,1,1,0,0,1.196231992620253,1.1934264222533282,0.9536499032112138,-1.1139588960057047
22.0,6,76,1,1,0,0,0.5432570801390451,0.013908151940200337,0.45233586542910637,-0.3878011028515476
18.0,8,70,1,1,0,0,1.090603697954175,0.669196079891938,0.6308698741675456,-1.295498344294244
15.0,8,70,1,1,0,0,1.8203991883743487,1.7176567646147183,0.7006281954626973,-2.0216561374484012
39.0,4,81,1,1,0,0,-1.0315647676097504,-1.0607640499006494,-1.2951692002358812,0.30204880064490114
26.0,4,74,2,0,1,0,-1.098782773306345,-0.9821294985464409,-1.1911228905075193,-0.024722206274469045
34.0,4,82,1,1,0,0,-0.781897889308112,-0.43168763906698127,-0.6803500972955608,0.8829750351682274
23.0,4,71,1,1,0,0,-0.6858721668844049,-0.4841106733031203,-0.8872603723235533,-0.5693405511400869
31.8,4,79,3,0,0,1,-1.0411673398521208,-1.03455253278258,-1.1237292580698304,1.3186697110607215
29.0,4,76,2,0,1,0,-0.9931544786402674,-0.9034949471922324,-1.2218638456545352,-0.49672477182467145
26.4,4,80,1,1,0,0,-0.5130258665217323,-0.43168763906698127,-0.11873649364815277,0.9192829248259358
25.5,4,77,1,1,0,0,-0.6858721668844049,-0.22199550212242522,-0.7926728180250424,-0.024722206274469045
20.8,6,78,1,1,0,0,0.0631284680205099,-0.5103221904211898,0.1177323920981243,0.41097246961802497
34.4,4,81,1,1,0,0,-0.9163339007013018,-1.03455253278258,-1.0941706473515456,0.2294330213294857
16.5,8,79,1,1,0,0,1.5131168766184862,0.8788882168364941,1.1641072115254003,-0.85980366840175
24.0,4,74,3,0,0,1,-0.7050773113691463,-0.19578398500435573,-0.5692097209948106,-0.20626165456300832
30.5,4,77,2,0,1,0,-0.9259364729436725,-0.6938028102476763,-0.9227307051854948,-0.5330326614823792
34.5,4,79,1,1,0,0,-0.8491158950047069,-0.9034949471922324,-0.9700244823347502,-0.24256954422071605
14.0,8,72,1,1,0,0,1.196231992620253,1.1934264222533282,1.3083532318306292,-0.5693405511400869
37.0,4,81,3,0,0,1,-1.0411673398521208,-1.03455253278258,-1.1769347573627427,1.391285490376137
29.8,4,80,2,0,1,0,-1.0027570508826382,-1.1131870841367886,-1.3306395330978227,-0.0973379855898845
26.0,4,71,1,1,0,0,-0.9835519063978967,-0.9034949471922324,-1.2005816459373704,1.7906722766109238
20.0,4,72,1,1,0,0,-0.5130258665217323,-0.3792646048308423,-0.6649796197220528,1.4275933800338452
18.1,6,78,1,1,0,0,0.6200776580780107,0.407080908711243,0.5197294978667953,-0.1699537649053006
31.0,4,74,3,0,0,1,-1.1275904900334572,-1.3753022553174836,-1.5623790411291743,0.3383566903026095
15.5,8,77,1,1,0,0,1.196231992620253,1.0623688366629807,1.3828409308407066,-0.6782642201132107
19.0,4,73,2,0,1,0,-0.6954747391267756,0.1973887717666869,-0.12110118250561554,-0.024722206274469045
18.0,6,75,1,1,0,0,0.5432570801390451,0.013908151940200337,0.5776643748746332,0.15681724201407024
28.4,4,79,1,1,0,0,-0.40739757185565456,-0.3792646048308423,-0.3552053793944298,0.15681724201407024
26.0,4,74,2,0,1,0,-0.9259364729436725,-0.6938028102476763,-0.7926728180250424,-0.3878011028515476
20.6,6,78,1,1,0,0,0.3608082075340017,0.013908151940200337,0.4842591650048538,0.08420146269865478
20.0,6,76,1,1,0,0,0.30319277407977746,-0.1171494336501472,0.8046745051910592,0.7740513661951035
34.5,4,81,2,0,1,0,-0.8971287562165604,3.7248806162991607e-16,-0.7690259294504147,0.08420146269865478
22.0,6,77,3,0,0,1,-0.45541043306750806,-0.19578398500435573,-0.18376543722837896,-0.3878011028515476
30.0,4,80,2,0,1,0,-0.45541043306750806,-0.9821294985464409,0.33055438926977365,2.2626748421611262
17.5,6,76,1,1,0,0,0.6200776580780107,-0.24820701924049474,0.2631607568320847,0.8103592558528119
33.5,4,77,3,0,0,1,-1.0411673398521208,-0.9034949471922324,-1.2124050902246841,0.44728035927573334
12.0,8,72,1,1,0,0,1.5035143043761154,1.4555415934340232,1.7564617703198244,-0.7508799994286262
24.0,4,74,2,0,1,0,-0.9931544786402674,-0.7724373616018849,-1.0196829483414684,-0.024722206274469045
13.0,8,76,1,1,0,0,1.196231992620253,1.1934264222533282,1.1463720450944295,-0.85980366840175
21.0,4,73,1,1,0,0,-0.5130258665217323,-0.8510719129560934,-0.6732560307231725,1.4275933800338452
33.0,4,81,2,0,1,0,-0.8491158950047069,-0.7986488787199544,-0.9227307051854948,-0.49672477182467145
41.5,4,80,2,0,1,0,-0.9163339007013018,-0.7462258444838153,-0.9771185489071386,-0.31518532353613216
23.0,4,72,2,0,1,0,-0.9259364729436725,-1.3228792210813445,-0.8470606617466861,2.8799089663421595
16.0,8,77,1,1,0,0,1.5131168766184862,1.1672149051352587,1.6133980944433268,-0.3878011028515476
18.0,4,72,2,0,1,0,-0.6954747391267756,0.1973887717666869,-0.04424879463807549,-0.3878011028515476
35.0,4,80,2,0,1,0,-0.6858721668844049,-0.43168763906698127,-0.5562039322787653,-0.1699537649053006
17.0,6,75,1,1,0,0,0.3608082075340017,0.14496573753054787,1.1073546789462938,1.972211724899463
23.5,6,81,1,1,0,0,-0.19614098252349907,0.14496573753054787,-0.29017643581420366,-1.077651006347997
18.1,8,78,1,1,0,0,1.0425908367423216,0.9050997339545636,0.2773488899768613,-1.5859614615559072
31.0,4,74,2,0,1,0,-1.098782773306345,-0.9821294985464409,-1.147376146644458,0.15681724201407024
15.0,8,73,1,1,0,0,1.5035143043761154,1.0623688366629807,1.3142649539742863,-0.9324194477171655
17.6,8,79,1,1,0,0,1.0425908367423216,0.6429845627738685,0.8921679929171817,-0.787187889086334
30.5,4,77,1,1,0,0,-0.9163339007013018,-1.086975567018719,-1.0870765807791574,0.5198961385911488
36.4,5,80,2,0,1,0,-0.6954747391267756,-0.9821294985464409,-0.024148939349641935,1.5728249386646762
20.0,6,73,3,0,0,1,-0.359384710643801,0.45950394294738195,-0.19322419265823004,-0.7508799994286262
25.8,4,81,1,1,0,0,-0.359384710643801,-0.32684157059470326,-0.4143226008309991,-0.4241089925092553
19.1,6,80,1,1,0,0,0.30319277407977746,-0.3792646048308423,0.48544150943358516,1.1371302627721822
20.0,8,75,1,1,0,0,0.6584879470474935,0.14496573753054787,0.29626640083656347,-0.7508799994286262
34.7,4,81,1,1,0,0,-0.8491158950047069,-1.086975567018719,-0.8931720944672101,-0.24256954422071605
10.0,8,70,1,1,0,0,1.090603697954175,2.5040022781568037,1.6618742160213136,-0.20626165456300832
24.0,4,75,3,0,0,1,-0.5706412999759565,-0.22199550212242522,-0.3173703576750255,-0.7508799994286262
34.2,4,79,1,1,0,0,-0.8491158950047069,-0.9034949471922324,-0.910907260898181,-0.85980366840175
26.0,4,70,2,0,1,0,-0.9259364729436725,-1.5325713580259006,-1.3424629773851366,1.7906722766109238
40.9,4,80,2,0,1,0,-1.0411673398521208,3.7248806162991607e-16,-1.3424629773851366,0.6288198075642727
28.0,4,80,1,1,0,0,-0.40739757185565456,-0.3792646048308423,-0.3457466239645787,0.3383566903026095
21.0,6,75,1,1,0,0,0.3608082075340017,0.14496573753054787,0.08107971480745135,-0.20626165456300832
17.5,8,78,1,1,0,0,1.196231992620253,0.9313112510726331,1.3119002651168234,-0.6782642201132107
22.0,6,76,1,1,0,0,0.30319277407977746,-0.1171494336501472,0.3104545339813401,-0.06103009593217677
18.0,6,73,1,1,0,0,0.37041077977637243,-0.1171494336501472,-0.21450639237539498,-0.20626165456300832
14.0,8,71,1,1,0,0,1.5131168766184862,1.2720609736075368,1.399393752842946,-0.7508799994286262
25.5,4,77,1,1,0,0,-0.5130258665217323,-0.4054761219489118,-0.2547061029522621,0.08420146269865478
13.0,8,72,1,1,0,0,1.5035143043761154,1.3244840078436757,1.810849614041468,-0.7508799994286262
28.0,4,72,3,0,0,1,-0.9259364729436725,-0.32684157059470326,-0.806860951169819,0.5198961385911488
31.0,4,71,3,0,0,1,-1.1756033512453108,-1.03455253278258,-1.4157683319664824,1.2460539317453059
22.4,6,81,1,1,0,0,0.3608082075340017,0.14496573753054787,0.5256412200104522,0.08420146269865478
23.9,4,78,3,0,0,1,-0.714679883611517,-0.19578398500435573,-0.668526653008247,-0.24256954422071605
32.0,4,74,3,0,0,1,-1.0603724843368623,-1.139398601254858,-1.1438291133582639,1.2460539317453059
18.0,6,71,1,1,0,0,0.5432570801390451,-0.43168763906698127,0.19931415768058988,-0.3878011028515476
32.0,4,82,1,1,0,0,-0.5610387277335858,-0.5365337075392593,-0.7985845401686993,-1.4407299029250755
32.0,4,82,3,0,0,1,-0.4746155775522495,-0.22199550212242522,-0.36111710153808674,-0.6056484407977947
20.0,6,75,1,1,0,0,0.37041077977637243,-0.1171494336501472,-0.06671333878397182,0.15681724201407024
12.0,8,71,1,1,0,0,1.8203991883743487,1.9797719357954133,2.346451640256786,-1.4770377925827833
18.6,6,78,1,1,0,0,0.30319277407977746,0.14496573753054787,0.7680218279003862,1.1371302627721822
13.0,8,76,1,1,0,0,1.0425908367423216,0.669196079891938,1.0636079350832326,-0.20626165456300832
26.5,4,76,1,1,0,0,-0.5130258665217323,-0.8510719129560934,-0.4793515444112253,-0.7145721097709185
25.0,4,70,2,0,1,0,-0.8587184672470776,-0.24820701924049474,-0.7039969858701886,0.7014355868796881
28.0,4,71,1,1,0,0,-0.5130258665217323,-0.3792646048308423,-0.8352372174593723,-0.024722206274469045
29.5,4,78,3,0,0,1,-0.9163339007013018,-0.9559179814283715,-0.987759648765721,0.3746645799603179
14.0,8,70,1,1,0,0,2.3677458061894785,2.8971750349278462,1.586204172582505,-2.566274482314019
21.5,3,77,3,0,0,1,-1.0891802010639744,0.14496573753054787,-0.2960881579578606,-0.7508799994286262
32.8,4,78,3,0,0,1,-1.1083853455487158,-1.3753022553174836,-1.1651113130754287,1.391285490376137
33.7,4,81,3,0,0,1,-0.8299107505199654,-0.7724373616018849,-0.8990838166108671,-0.4241089925092553
15.0,8,70,1,1,0,0,1.8876171940709434,2.2418871069761086,1.0399610465086049,-2.566274482314019
25.0,4,71,1,1,0,0,-0.9163339007013018,3.7248806162991607e-16,-1.0929883029228142,1.2460539317453059
29.8,4,80,3,0,0,1,-0.5706412999759565,-0.3792646048308423,-0.30672925781644306,-0.024722206274469045
23.9,8,79,1,1,0,0,0.639282802562752,-0.3792646048308423,0.5315529421541092,2.407906400791957
19.4,8,78,1,1,0,0,1.196231992620253,0.9313112510726331,0.9039914372044956,-0.85980366840175
25.1,4,78,1,1,0,0,-0.5130258665217323,-0.43168763906698127,-0.2960881579578606,-0.06103009593217677
35.0,4,71,3,0,0,1,-1.16600077900294,-0.9297064643103019,-1.6049434405635041,0.8829750351682274
21.5,6,79,1,1,0,0,0.3608082075340017,0.2760233231208954,0.3246426671261167,-0.06103009593217677
17.5,8,77,1,1,0,0,1.0713985534694337,1.0623688366629807,1.0754313793705463,-1.1139588960057047
17.7,6,78,1,1,0,0,0.3608082075340017,1.5865991790243708,0.5611115528723938,-0.787187889086334
11.0,8,73,1,1,0,0,1.9836429164946505,1.1934264222533282,2.396110106263504,-0.5693405511400869
18.0,6,71,1,1,0,0,0.37041077977637243,-0.1171494336501472,0.3754834775615663,-0.024722206274469045
27.0,4,82,1,1,0,0,-0.40739757185565456,-0.3792646048308423,-0.024148939349641935,0.6288198075642727
15.0,8,72,1,1,0,0,1.196231992620253,1.1934264222533282,1.3769292086970497,-0.7508799994286262
24.0,4,72,3,0,0,1,-0.7722953170657413,-0.24820701924049474,-0.8186843954571329,-0.024722206274469045
36.0,4,82,2,0,1,0,-0.8491158950047069,-0.7986488787199544,-1.1710230352190858,-0.0973379855898845
27.4,4,79,1,1,0,0,-0.6954747391267756,-0.6413797760115374,-0.3552053793944298,-0.20626165456300832
18.0,6,70,1,1,0,0,0.0535258957781392,-0.19578398500435573,-0.23224155880636577,-0.024722206274469045
13.0,8,73,1,1,0,0,1.9836429164946505,1.1934264222533282,1.7659205257496755,-1.295498344294244
19.0,6,71,1,1,0,0,0.37041077977637243,-0.1171494336501472,-0.3977697788287597,-0.9324194477171655
40.8,4,80,3,0,0,1,-1.0411673398521208,-1.03455253278258,-1.0173182594840056,1.3186697110607215
20.2,8,78,1,1,0,0,1.0425908367423216,0.9050997339545636,0.7089046064638169,-1.0050352270325809
16.0,8,70,1,1,0,0,1.061795981227063,1.1934264222533282,0.5469234197276172,-1.295498344294244
43.4,4,80,2,0,1,0,-0.9931544786402674,-1.4801483237897615,-0.751290763019444,2.952524745657575
26.0,4,73,2,0,1,0,-0.9163339007013018,-0.3792646048308423,-0.8340548730306409,-0.024722206274469045
